Servicenow TT,INC TT NO,Site ID,Priority,Area,Site Address,Category,Subcategory,Alarm Desc,Month,TT Issue Date,TT Close Date,Breached,Status,Spare Changed,Feedback,Breached_Flag,Spare_Flag,Area_Type,Is_Priority_Area,Month_Num,Priority_Num,IssueDate,Issue_Year,Issue_Month,Issue_Day,Issue_WeekDay
NOCINC0006031078,4981667,337,,JAH,"JAWAKHER AL JAHRA, BLOCK-2, TEMP SITE",Fuel/FFS,,l:Under Fuel Level,Jan,1/12/2026,1/18/2026,,close,NO,"we will fill fuel as our schedule, presently team filled fuel by tanker . Now alarm clear ",0,0,Standard,0,1,,1/12/2026,2026,1,12,Monday
NOCINC0006031082,4981683,1005,S1,JAH,"ABDALLY,Abdally Al-Quashianya Farm Area",Standby DG,DA on Load,DA on Load,Jan,1/12/2026,1/12/2026,,close,NO,"MEW Power Failure - MEW power failure in the area. Our PRO has Register Complaint with MEW. Stand by DG running at site, Presently MEW power restored at site. Now alarm cleared.",0,0,Standard,0,1,1,1/12/2026,2026,1,12,Monday
NOCINC0006031083,4981693,1284,S4,JAH,Saad Al Abdullah City– Block 8 – St 871 – parcel 43 – house 14 – PACI no : 93422869,MEW,Major / Site Down,Rectifier Major Radio,Jan,1/12/2026,1/12/2026,,close,NO,MEW Power Failure - MEW power failure there. Our PRO Registered Complaint with MEW. Presently MEW power restored at site. Now alarm cleared.,0,0,Standard,0,1,4,1/12/2026,2026,1,12,Monday
NOCINC0006031085,4981690,1089,S1,JAH,"ATRAF,Salmi Road AGR,Near to Viva 4 leg Tower",Standby DG,DA on Load,DA on Load,Jan,1/12/2026,1/12/2026,,close,NO,"MEW Power Failure - MEW power failure in the area. Our PRO has Register Complaint with MEW. Stand by DG running at site, Presently MEW power restored at site. Now alarm cleared.",0,0,Standard,0,1,1,1/12/2026,2026,1,12,Monday
NOCINC0006031087 ,4981630,1090,S1,JAH,"SALMY,SALMY 1 AGR",Standby DG,DA on Load,DA on Load,Jan,1/12/2026,1/12/2026,,close,NO,"MEW Power Failure - MEW power failure in the area. Our PRO has Register Complaint with MEW. Stand by DG running at site, Presently MEW power restored at site. Now alarm cleared.",0,0,Standard,0,1,1,1/12/2026,2026,1,12,Monday
NOCINC0006031086,4981631,1030,S1,JAH,"SALMY,SALMY road 70 ,Near to 70 SALMY Road ,Viva Sharing the same Tower.",MEW,Major / Site Down,Rectifier Major Radio,Jan,1/12/2026,1/12/2026,,close,NO,MEW Power Failure / Spare DG Connected-Team visited site and found MEW power failure there. Our PRO Registered Complaint with MEW. Presently we connected spare DG at site. Now alarm cleared.,0,0,Standard,0,1,1,1/12/2026,2026,1,12,Monday
NOCINC0006031089 ,4981750,1826,S4,JAH,"SULAIBIYA,Customs Cargo Sulaibiya,Sulabiya Industrial Area-2,Inside the Compound of Cargo Office.",AC,Aircon 1 Alarm,:Aircon1,Jan,1/12/2026,1/12/2026,,close,NO,Self Cleared - As per KWT NOC there is no alarm active at site. Alarm self-cleared and stable. Please close TT,0,0,Standard,0,1,4,1/12/2026,2026,1,12,Monday
NOCINC0006031090 ,4981769,1805,S4,JAH,"SULAIBIYA, Sulaibiya Agriculture Area,Inside the compound of Agriculture Department ,near to the Road.",MEW,Major / Site Down,Rectifier Major Radio,Jan,1/12/2026,1/12/2026,,close,NO,MEW  Power Failure / MDG connected  -Team visited site and found MEW power failure in the area. Our PRO has Register Complaint with MEW. Presently we Mobilized and connected MDG at site. Now alarm cleared.,0,0,Standard,0,1,4,1/12/2026,2026,1,12,Monday
NOCINC0006031094,4981781,5129,S4,JAH,Al Mutlaa Residential 9 - Block 3 - St 322 - Parcel 335 - House 335 - PACI NO 95770859 - Unit PACI NO22341025,MEW,Major / Site Down,Low Fuel Alarm,Jan,1/12/2026,1/12/2026,yes,close,NO,"Alarm configuration  -  our team visited at site for alarm configuration, Now they completed. Alarm cleared. ",1,0,Standard,0,1,4,1/12/2026,2026,1,12,Monday
NOCINC0006031099,4981821,5130,S4,JAH,Al Mutlaa Residential 5 - Block 3 - St 316 - Parcel 195 - House 195 - PACI NO 95941873 - Unit PACI NO22403599,MEW,Major / Site Down,Low Fuel Alarm,Jan,1/12/2026,1/12/2026,,close,NO,"Alarm configuration  -  our team visited at site for alarm configuration, Now they completed. Alarm cleared. ",0,0,Standard,0,1,4,1/12/2026,2026,1,12,Monday
NOCINC0006031105 ,4981830,1952,S4,JAH,"JAHRA, MOH hospital,Water Tank.",AC,Frequency / Load / Other,AC 3,Jan,1/12/2026,1/12/2026,,close,YES,AC issue  - Ac 3 outdoor unit gas pipe valve pin leak repaired and compressor heat up made it cool and gas charged 1.5KG. now alarm clear ,0,1,Standard,0,1,4,1/12/2026,2026,1,12,Monday
NOCINC0006031114,4981967,1075,S4,JAH,"SHIHEED,SHIHEED MOI,Desert Area.",AC,Aircon 3 Alarm,Aircon3&2,Jan,1/12/2026,1/12/2026,yes,close,YES,"AC issue  - Our team visited at site and found AC 2&3 Breaker tripped/ Reset, Ac 3 compressor faulty need to replace . Now alarm clear ",1,1,Standard,0,1,4,1/12/2026,2026,1,12,Monday
NOCINC0006031118,4982010,1805,S4,JAH,"SULAIBIYA, Sulaibiya Agriculture Area,Inside the compound of Agriculture Department ,near to the Road.",MEW,Major / Site Down,Major,Jan,1/12/2026,1/12/2026,yes,close,NO,"MEW Power restored/MDG disconnected - Our team visited at site and found MEW power restored, Presently team disconnected MDG from site ",1,0,Standard,0,1,4,1/12/2026,2026,1,12,Monday
NOCINC0006031126,4982177,1072,S4,JAH,"MAGHASEL,Maghasel MOD",Standby DG,Major / Site Down,Rectifier Major Radio,Jan,1/13/2026,1/13/2026,yes,close,YES,"Access issue/No fuel/MEW power failure-As the site is located in MOD. Our team visited site in morning and with the help of Mr. Khaled team got access. Team found MEW power failure was there and Stand by DG didn't start due to no fuel, Later mew power restored but power didn’t tranfer due to ATS han",1,1,Standard,0,1,4,1/13/2026,2026,1,13,Tuesday
NOCINC0006031134 ,4982225,371,,JAH,"MUTLAA,SOUTH MUTLA,Chineese NEW PROJECT Yard Compound, CGGC CO. CONTACT. 94072333",3rd Party,,Low DC Voltage Radio,Jan,1/13/2026,1/13/2026,,close,NO,"Ooredoo DG No fuel/Our MDG connected-Its power sharing site with ooredoo, our team visited and found their DG stopped due to No fuel, Presently we mobilized and connected MDG at site. Alarm cleared. ",0,0,Standard,0,1,,1/13/2026,2026,1,13,Tuesday
NOCINC0006031145 ,4982268,1893,S4,JAH,"SULAIBIYA,Industial -1 , TENERRY CO",MEW,Major / Site Down,Rectifier Major Radio,Jan,1/13/2026,1/13/2026,yes,close,NO,MEW Power Failure - MEW power failure there. Our PRO Registered Complaint with MEW. Presently MEW power restored at site. Now alarm cleared.,1,0,Standard,0,1,4,1/13/2026,2026,1,13,Tuesday
NOCINC0006031146,4982279,4048,S4,JAH,Abdally - Block 5 - Parcel 1‏ك - PACI NO 91358197 - Unit PACI NO 14384076,Battery,,Low Fuel Alarm,Jan,1/13/2026,1/13/2026,yes,close,NO,Alarm checking-Team visited site for alarm checking/completed. Alarm cleared. ,1,0,Standard,0,1,4,1/13/2026,2026,1,13,Tuesday
NOCINC0006031165,4982385,378,,JAH,"Abdally Road, Opp to Mutla Area, Temp Site",Fuel/FFS,,Under Fuel Level,Jan,1/13/2026,1/14/2026,,close,NO,we will fill fuel as our schedule comes on presently team filled fuel by tanker . Now alarm clear ,0,0,Standard,0,1,,1/13/2026,2026,1,13,Tuesday
NOCINC0006031168 ,4982543,371,,JAH,"MUTLAA,SOUTH MUTLA,Chineese NEW PROJECT Yard Compound, CGGC CO. CONTACT. 94072333",DG,Major / Site Down,Rectifier Major Radio,Jan,1/13/2026,1/13/2026,,close,YES,Planed Activity   - Our team visited at site and installed our dg and Disconnected MDG from site . Now alarm clear ,0,1,Standard,0,1,,1/13/2026,2026,1,13,Tuesday
NOCINC0006031188,4982754,4802,S2,JAH,"KABD,KABD MOI,In front of the Scientific research area Main gate.",Standby DG,Major / Site Down,Rectifier Major Radio,Jan,1/14/2026,1/14/2026,,close,NO,"MEW Power Failure - MEW power failure in the area. Our PRO has Register Complaint with MEW. Our team is on the way to check stand by DG, Presently MEW power restored at site. Now alarm cleared.",0,0,Standard,0,1,2,1/14/2026,2026,1,14,Wednesday
NOCINC0006031200,No TT,1281,S4,JAH,"Saad Al-Abdulla - Block 8 - St 886 - Parcel 900056 - PACI NO 93564912, COOP B",MEW,Major / Site Down,Rectifier Major Radio,Jan,1/14/2026,1/14/2026,,close,NO,"Our Main breaker faulty/MDG connected-Team visited and found our Main breaker faulty inside electrical room.Presently we connected MDG at site, AC 3 alarm  is a false alarm, which is generating from BTS, please divert this issue. ",0,0,Standard,0,1,4,1/14/2026,2026,1,14,Wednesday
NOCINC0006031211 ,4982885,4802,S2,JAH,"KABD,KABD MOI,In front of the Scientific research area Main gate.",Standby DG,DA on Load,DA on Load,Jan,1/14/2026,1/14/2026,yes,close,NO,"MEW Power Failure - MEW power failure in the area. Our PRO has Register Complaint with MEW. Stand by DG running at site, Presently MEW power restored at site. Now alarm cleared.",1,0,Standard,0,1,2,1/14/2026,2026,1,14,Wednesday
NOCINC0006031212,4982887,1030,S1,JAH,"SALMY,SALMY road 70 ,Near to 70 SALMY Road ,Viva Sharing the same Tower.",MEW,Major / Site Down,Rectifier Major Radio,Jan,1/14/2026,1/14/2026,yes,close,NO,Planed Activity   - Our team visited at site for ATS inspection /now completed. Now alarm clear ,1,0,Standard,0,1,1,1/14/2026,2026,1,14,Wednesday
NOCINC0006031216 ,4982955,880,,JAH,"KABD,KABD TEMP SITE, IN FRONT OF LIVESTOCK FARM ,Kabd Road side.",Standby DG,DA on Load,DA on Load,Jan,1/14/2026,1/14/2026,,close,NO,alarm checking- Our team visited at site for alarm checking . Now completed ,0,0,Standard,0,1,,1/14/2026,2026,1,14,Wednesday
NOCINC0006031219,4982993,4791,S4,JAH,"Salmi Road, Low cost city - Kharrafi project",DG,Other,DA on Load,Jan,1/14/2026,1/14/2026,yes,close,NO,"MOP was there due to which battery went down due to which Da on load alarm active,presently battery charged and now alarm clear ",1,0,Standard,0,1,4,1/14/2026,2026,1,14,Wednesday
NOCINC0006031226,4982976,809,,JAH,"KABD, BLK5, Near to Viva and Ooreedo Tower.",DG,Other,DA on Load,Jan,1/14/2026,1/14/2026,,close,NO,team visited at site for RMS alarm checking . Now alarm clear ,0,0,Standard,0,1,,1/14/2026,2026,1,14,Wednesday
NOCINC0006031232,4983135,348,,JAH,"ABDALLY, NBTC Company Yard Compound",Standby DG,Major / Site Down,Rectifier Major Radio,Jan,1/15/2026,1/15/2026,,close,NO,Al bahar DG/No fuel-AL Bahar team attended site and reported their DG stopped due to no fuel. Presently our team filled fuel temperary and started the Al bahar DG. Alarm cleared. ,0,0,Standard,0,1,,1/15/2026,2026,1,15,Thursday
NOCINC0006031233,4983213,365,,JAH,"JAHRA,QASAR, BLK-3, ROAD-80, BESIDE VIVA SITE",DG,Major / Site Down,Rectifier Major Radio,Jan,1/15/2026,1/15/2026,,close,NO,"Solar site-Our team visited site and found solar DG is running at site, team is unable to check the issue due to Enertech shelter is locked and key is available with Enertech team, our team called him but he is not answering phone, Presently our team started outside DG. alarm cleared. ",0,0,Standard,0,1,,1/15/2026,2026,1,15,Thursday
NOCINC0006031240 ,4983185,129,,JAH,"SALMY,SALMY road side , Sharing with existing wataniya site 0606A",3rd Party,,:Rectifier Major Radio,Jan,1/15/2026,1/15/2026,,close,NO,"ooredoo-Its power sharing site with ooredoo, Presently we mobilized MDG to site in between they completed their work .now alarm alarm clear ",0,0,Standard,0,1,,1/15/2026,2026,1,15,Thursday
NOCINC0006031257,4983468,812,,JAH,"MUTLAA,MUTLA'A AREA ,Inside the Desert.",DG,Major / Site Down,Major,Jan,1/15/2026,1/15/2026,,close,NO,DG issue  - Our team visited at site and found DG stopped due to Air Lock / rectified  and started dg . Now alarm clear ,0,0,Standard,0,1,,1/15/2026,2026,1,15,Thursday
NOCINC0006031259 ,4983481,1264,S4,JAH,"Jaber Al-Ahmad - Block 1 - St 175 - Parcel 900003 - PACI NO 93510973, COOP",AC,Aircon 2 Alarm,Aircon2,Jan,1/15/2026,1/15/2026,yes,close,NO,Self Cleared - As per KWT NOC there is no alarm active at site. Alarm self-cleared and stable. Please close TT,1,0,Standard,0,1,4,1/15/2026,2026,1,15,Thursday
NOCINC0006031263 ,4983550,1035,S1,JAH,"UM AL NIQA,MUNCIPALITY ,Deep Desert.",DG,Major / Site Down,Rectifier Major Radio,Jan,1/15/2026,1/16/2026,yes,close,NO,"DG issue - our team attended site and reported DG stoped dueto under frequency, team adjusted and rectified the issue.now site is clear.",1,0,Standard,0,1,1,1/15/2026,2026,1,15,Thursday
NOCINC0006031277,4983629,5789,S4,JAH,"ABDALLY, BLOCK-5",MEW,Major / Site Down,Rectifier Major,Jan,1/16/2026,1/16/2026,,close,YES,"MEW program shut down/MDG connected-Team visited site and found MEW power failure in the area due to program shut down. Presently we mobilized and connected MDG at site but again MDG tripped, team found MDG tripped  due to harness faulty/repaired and started MDG. alarm cleared. ",0,1,Standard,0,1,4,1/16/2026,2026,1,16,Friday
